id_sinistro;id_veiculo;marca_modelo;ano_fab;ano_modelo;cor_veiculo;tipo_veiculo;data_sinistro;ano_sinistro;mes_sinistro;dia_sinistro;ano_mes_sinistro
1720330;682140;FIAT/IDEA ADVENTURE 1.8;2013;2013;CINZA;AUTOMOVEL;01/01/2022;2022;01;01;2022/01
1720330;2555166;VW/SAVEIRO CD HL MB;2014;2015;VERMELHA;AUTOMOVEL;01/01/2022;2022;01;01;2022/01
1720330;2580860;RENAULT/SANDERO ST16 SCE;2019;2020;PRATA;AUTOMOVEL;01/01/2022;2022;01;01;2022/01
1744342;850182;CHEVROLET/CRUZE LT NB;2012;2012;PRETA;AUTOMOVEL;01/01/2022;2022;01;01;2022/01
1811016;661766;HONDA/CG 150 TITAN KS;2005;2006;PRATA;MOTOCICLETA;01/01/2022;2022;01;01;2022/01
1808110;783651;HONDA/XR 250 TORNADO;2008;2008;LARANJA;MOTOCICLETA;01/01/2022;2022;01;01;2022/01
1840338;2594214;HONDA/C100 BIZ ES;2004;2004;PRETA;MOTOCICLETA;01/01/2022;2022;01;01;2022/01
1840338;705389;HONDA/CB 250F TWISTER;2017;2018;VERMELHA;MOTOCICLETA;01/01/2022;2022;01;01;2022/01
1803604;933838;;;;;NAO DISPONIVEL;01/01/2022;2022;01;01;2022/01
1876556;971327;HONDA/CG 160 START;2020;2020;VERMELHA;MOTOCICLETA;01/01/2022;2022;01;01;2022/01
1876556;2686325;VW/NOVO GOL 1.0;2012;2013;PRETA;AUTOMOVEL;01/01/2022;2022;01;01;2022/01
1911590;2700800;;;;;NAO DISPONIVEL;01/01/2022;2022;01;01;2022/01
1911590;749686;FIAT/PALIO HLX FLEX;2004;2005;CINZA;AUTOMOVEL;01/01/2022;2022;01;01;2022/01
2212474;1239525;I/CHEVROLET AGILE LTZ;2009;2010;BEGE;AUTOMOVEL;01/01/2022;2022;01;01;2022/01
1533256;538847;HYUNDAI/HB20 1.0M COMFOR;2016;2016;BRANCA;AUTOMOVEL;01/01/2022;2022;01;01;2022/01
1744379;2547861;FIAT/PALIO EDX;1998;1999;CINZA;AUTOMOVEL;01/01/2022;2022;01;01;2022/01
1744379;2575812;FIAT/PALIO ATTRACTIV 1.4;2014;2015;PRATA;AUTOMOVEL;01/01/2022;2022;01;01;2022/01
1744379;664627;I/NISSAN MARCH 10S FLEX;2016;2017;BRANCA;AUTOMOVEL;01/01/2022;2022;01;01;2022/01
1834816;727713;YAMAHA/FACTOR YBR125 ED;2012;2012;VERMELHA;MOTOCICLETA;01/01/2022;2022;01;01;2022/01
1891445;2659905;;;;;NAO DISPONIVEL;01/01/2022;2022;01;01;2022/01
1891445;2617856;GM/CORSA HATCH MAXX;2010;2010;CINZA;AUTOMOVEL;01/01/2022;2022;01;01;2022/01
1891445;830660;DAFRA/RIVA 150;2013;2014;PRETA;MOTOCICLETA;01/01/2022;2022;01;01;2022/01
2192424;1429350;FIAT/PALIO ELX;2001;2002;VERMELHA;AUTOMOVEL;01/01/2022;2022;01;01;2022/01
2219504;1413946;HONDA/POP 110I;2021;2022;PRETA;MOTOCICLETA;01/01/2022;2022;01;01;2022/01
1467489;444396;;;;;NAO DISPONIVEL;01/01/2022;2022;01;01;2022/01
